"SSID","Filename","Creator[8101]","Culture","Title[8103]","Image View Description[8104]","Image View Type[8105]","Date[8106]","Earliest Date[8107]","Latest Date[8108]","Style/Period[8109]","Materials/Techniques[8110]","Measurements[8111]","Artstor Classification[8112]","Work Type[8113]","Repository[8114]","Accession Number[8115]","Location[3200]","Creation/Discovery Site[8117]","Latitude[8118]","Longitude[8119]","Elevation[8120]","Country[8121]","Description[8122]","Subject[8123]","Relationships[8124]","Image Source[8125]","Photographer[8126]","Image Date[8127]","Local Record ID[8128]","Rights[8129]","Historic Site Name[8137]","Notes[8138]","Faculty requestor[8139]"
616733,"i12-02977.tif",,"Greek, Hellenistic","Volos Museum Stele #116",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",116,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02977","Copyright: IFA/NYU","Demetrias, Greece",,
616735,"i12-02978.tif",,"Greek, Hellenistic","Volos Museum Stele #121",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",121,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. Film processed Aug. 1960.",,,"i12-02978","Copyright: IFA/NYU","Demetrias, Greece",,
616739,"i12-02980.tif",,"Greek, Hellenistic","Volos Museum Stele #132",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",132,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.  (Date of slide unknown; likely 1960s)",,,"i12-02980","Copyright: IFA/NYU","Demetrias, Greece",,
616741,"i12-02981.tif",,"Greek, Hellenistic","Volos Museum Stele #145",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",145,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.  (Date of slide unknown; likely 1960s)",,,"i12-02981","Copyright: IFA/NYU","Demetrias, Greece",,
616742,"i12-02982.tif",,"Greek, Hellenistic","Volos Museum Stele #152",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",152,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.  (Date of slide unknown; likely 1960s)",,,"i12-02982","Copyright: IFA/NYU","Demetrias, Greece",,
616744,"i12-02983.tif",,"Greek, Hellenistic","Volos Museum Stele #235",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",235,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. Film processed Aug. 1960.",,,"i12-02983","Copyright: IFA/NYU","Demetrias, Greece",,
616746,"i12-02985.tif",,"Greek, Hellenistic","Volos Museum Stele #243",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",243,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. Film processed Oct. 1964.",,,"i12-02985","Copyright: IFA/NYU","Demetrias, Greece",,
616759,"i12-02994.tif",,"Greek, Hellenistic","Volos Museum Stele #298",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",298,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02994","Copyright: IFA/NYU","Demetrias, Greece",,
616760,"i12-02995.tif",,"Greek, Hellenistic","Volos Museum Stele #356",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",356,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02995","Copyright: IFA/NYU","Demetrias, Greece",,
616748,"i12-02986.tif",,"Greek, Hellenistic","Volos Museum Stele #8",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",8,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02986","Copyright: IFA/NYU","Demetrias, Greece",,
616755,"i12-02991.tif",,"Greek, Hellenistic","Volos Museum Stele #49",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",49,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02991","Copyright: IFA/NYU","Demetrias, Greece",,
616756,"i12-02992.tif",,"Greek, Hellenistic","Volos Museum Stele #230",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",230,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02992","Copyright: IFA/NYU","Demetrias, Greece",,
616777,"i12-03008.tif",,,"Volos Museum Stele #50",,,"Hellenistic",,,,,,,"Painting","Volos Museum",50,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03008",,"Demetrias, Greece","(Arvanitopoullos, YS pl. 8)",
616796,"i12-03019.tif",,,"Volos Museum Stele #44",,,"Hellenistic",,,,,,,"Painting","Volos Museum",44,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03019","Copyright: IFA/NYU","Demetrias, Greece",,
616783,"i12-03012.tif",,,"Volos Museum Stele #23",,,"Hellenistic",,,,,,,"Painting","Volos Museum",23,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03012",,"Demetrias, Greece",,
616791,"i12-03016.tif",,,"Stele of Nikandros of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",288,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03016",,"Demetrias, Greece",,
616805,"i12-03024.tif",,,"Volos Museum Stele Fragment (no inv.)",,,"Hellenistic",,,,,,,"Painting","Volos Museum",,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03024","Copyright: IFA/NYU","Demetrias, Greece",,
616800,"i12-03021.tif",,,"Volos Museum Stele #47",,,"Hellenistic",,,,,,,"Painting","Volos Museum",47,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03021","Copyright: IFA/NYU","Demetrias, Greece",,
616802,"i12-03022.tif",,,"Volos Musuem Stele #114",,,"Hellenistic",,,,,,,"Painting","Volos Museum",114,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03022","Copyright: IFA/NYU","Demetrias, Greece",,
616787,"i12-03014.tif",,,"Volos Museum Stele #54",,,"Hellenistic",,,,,,,"Painting","Volos Museum",54,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03014",,"Demetrias, Greece",,
616792,"i12-03017.tif",,,"Stele of Arisstokles of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",2,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03017","Copyright: IFA/NYU","Demetrias, Greece",,
616815,"i12-03030.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the Infanta Margarita and the menina María Agustina Sarmiento",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 85.",,,"i12-03030",,,,
616823,"i12-03035.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of José Nieto",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 95.",,,"i12-03035",,,,
616821,"i12-03033.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of Maribárbola and Nicolás Pertusato",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 91.",,,"i12-03033",,,,
616848,"i12-03041.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the face of Isabel de Velasco",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 128.",,,"i12-03041",,,,
616849,"i12-03042.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of Velázquez's hand",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 139.",,,"i12-03042",,,,
616822,"i12-03034.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of image of Philip IV and Mariana of Austria",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 93.",,,"i12-03034",,,,
616839,"i12-03039.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of the Infanta Margarita",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 105.",,,"i12-03039",,,,
616826,"i12-03037.tif","Velázquez, Diego (Spanish painter, 1599-1660)","Spanish","Las Meninas",,,"ca. 1656",,,,"oil on canvas",,,"Painting","Museo del Prado, Madrid, Spain","P01174",,,,,,,"detail, view of self portrait of Velázquez",,,"Serraller, ""Las Meninas de Velázquez,"" 1995, p. 99.",,,"i12-03037",,,,
616866,"i12-03056.tif",,"Greek, Hellenistic","Horsemen in greeting",,,"ca. 300 BC",,,,"fresco",,,"Wall painting",,,"Thessaloniki, Macedonia, Greece",,,,,,"Detail of a frieze located above the door on the façade of a Macedonian chamber tomb",,,"Hoepfner, ""Der Koloss von Rhodos,"" p. 82, fig. 113.",,,"i12-03056",,,"G. Kopcke, fall 2011. Kolossos/Colossus of Rhodes - hand gesture.",
617263,"i12-03776.tif","Díaz, Gonzalo (Chilean, born 1945)","Chilean","Pintura por encargo (Commissioned Painting)",,,1985,,,,"latex on canvas and wood",,,"Painting",,,,,,,,,"painting-installation; 288.5 x 164.5 cm (painting) / 170 x 100 cm (silhouette on chipboard); Díaz commissioned Solís, a painter of movie posters, to do his portrait. This involved moving to the Filmo-Centro studio, where he prepared a set based on his everyday space. He was then photographed by Jaime O'Ryan. He later selected the photo closest to a movie still and gave it to the painter for the portrait.",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 246",,,"i12-03776",,,,
617249,"i12-03762.tif","Balmes, José (Chilean painter, born 1927)","Chilean","No",,,1972,,,,"mixed media on canvas",,,"Painting","Private collection, Santiago, Región Metropolitana de Santiago, Chile",,,,,,,,"200 x 300 cm",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 31",,,"i12-03762",,,,
617267,"i12-03780.tif","Dittborn, Eugenio (Chilean, born 1943)","Chilean","Lugares comunes, pintura aeropostal no. 8 (Common Places, Airmail Painting No. 8)",,,1984,,,,"rubber stamp and photo silkscreen on wrapping paper",,,"Painting","Collection Carolyn Alexander, New York, NY, USA",,,,,,,,"175 x 145 cm; Itinerary: Santiago, Chile, 1984; Cali, 1984; Santiago, Chile, 1985; Lima, 1988; Rotterdam, 1993-1994; Santiago, Chile, 1998; New York, 1998",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 260",,,"i12-03780",,,,
617828,"i12-05086.tif",,"Egyptian","Doors of a naos shrine dedicated to Horus and Anubis",,,,,,,"painted wood",,,"Painting","Staatliche Sammlung Agyptischer Kunst, Munich, Germany",1384,,,,,,,"exterior, showing Horus and Anubis",,,"Willems & Clarysse, ""Les Empereurs du Nil, ""no. 204, p. 273",,,"i12-05086",,,"T. Mathews, spring 2012.",
617829,"i12-05087.tif",,"Egyptian","Doors of a naos shrine dedicated to Horus and Anubis",,,,,,,"painted wood",,,"Painting","Staatliche Sammlung Agyptischer Kunst, Munich, Germany",1384,,,,,,,"interior, showing ibis and falcon",,,"Willems & Clarysse, ""Les Empereurs du Nil, ""no. 204, p. 273",,,"i12-05087",,,"T. Mathews, spring 2012.",
618111,"i12-05509.tif",,"Roman","House of the Vettii VI.15.1",,,,,,,,,,"Wall painting",,,"Campania, Italy",,,,,,"Detail of the Baby Hercules scene in Oecus N, the Pentheus Room",,,"K. Welch slide",,,"i12-05509","Copyright: K. Welch","Pompeii, Italy","K. Welch Spring 2012. Bay of Naples.",
618110,"i12-05508.tif",,"Roman","House of the Vettii VI.15.1",,,,,,,,,,"Wall painting",,,"Campania, Italy",,,,,,"Detail of Pentheus scene in Oecus N, the Pentheus Room",,,"K. Welch slide",,,"i12-05508","Copyright: K. Welch","Pompeii, Italy","K. Welch Spring 2012. Bay of Naples.",
618113,"i12-05511.tif",,"Roman","House of the Faun. VI.12.2",,,"late 2c BC",,,,,,,"Wall painting",,,"Campania, Italy",,,,,,"Fauces wall in First Style decoration",,,"K. Welch slide",,,"i12-05511","Copyright: K. Welch","Pompeii, Italy","K. Welch Spring 2012. Bay of Naples.",
619789,"i12-05694.tif",,"Sogdian","Drawing of a detail of a wall painting from Afrasiab",,,,,,,,,,"Drawing",,,,,,,,,"7c AD, detail of Giftbearer's clothing",,,"Belenizki, ""Mittelasien Kunst der Sogden,"" p. 14.",,,"i12-05694",,,,
619799,"i12-05895.tif","Malevich, Kazimir (Russian painter, 1878-1935)","Suprematism","Suprematist Painting (White Planes in Dissolution)",,,"1917-1918",,,,"oil on canvas",,,"Painting","Stedelijk Museum, Amsterdam, Netherlands","A7666",,,,,,,,,,"Drutt, ""Kazimir Malevich: Suprematism,"" p. 202.",,,"i12-05895",,,,
619819,"i12-05964.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","The Astronomer (El astrónomo)",,,1957,,,,"oil on canvas",,,"Painting","Private collection",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" p. 337, pl. 109",,,"i12-05964",,,,
619786,"i12-05691.tif",,"Armenian","Wall Painting of Senmurv Medallions",,,"13c AD",,,,,,,"Wall Painting",,,"Kars, Turkey",,,,,,"Medieval Armenian Kingdom",,,"Koninklijke Musea voor Kunst en Geschiedenis, ""Hofkunst van de Sassanieden,"" p. 136, fig. 132.",,,"i12-05691",,"Church of St. Gregory, Ani, Turkey",,
619818,"i12-05963.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","Spectral Bird (Pájaro espectral)",,,1956,,,,"oil on canvas",,,"Painting","Private collection",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" p. 272, pl. 108",,,"i12-05963",,,,
619814,"i12-05959.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","Birth of Our Nationality (Nacimiento de nuestra nacionalidad)",,,1952,,,,"Vinylite on canvas",,,"Painting","Palacio de Bellas Artes, Mexico City, Distrito Federal, Mexico",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" pp. 230-231, pl. 96",,,"i12-05959",,,,
619815,"i12-05960.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","Mexico Today (México de hoy)",,,1953,,,,"Vinylite on canvas",,,"Painting","Palacio de Bellas Artes, Mexico City, Distrito Federal, Mexico",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" pp. 232-233, pl. 100",,,"i12-05960",,,,
619817,"i12-05962.tif","Tamayo, Rufino (Mexican painter, 1899-1991)","Mexican","Still Life (Naturaleza muerta)",,,1954,,,,"Vinylite on Masonite",,,"Painting","Museo Soumaya, Mexico City, Distrito Federal, Mexico",,,,,,,,,,,"Diana C. Du Pont, ed., ""Tamayo: A Modern Icon Reinterpreted,"" pp. 236-237, pl. 104",,,"i12-05962",,,,
620831,"i12-06880.tif",,"Roman","Male face",,,"end 2c - early 3c AD",,,,"fresco",,,"Wall painting",,,"Évreux, Haute-Normandie, France",,,,,,"From House A, by the Rue de la Harpe, at Évreux. Provincial - Gaul (Gallia Lugdunensis).",,,"Gallia 64 (2007), p. 230, fig. 1.",,,"i12-06880",,"Evreux; Civitas Eburovicum; Mediolanum Aulercorum, France","G. Kopcke, fall 2012. Roman Gaul/Gallo-Roman, Rome North of the Alps. Late Antique.",
620887,"i12-07044.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Purification of Mary",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 79.",,,"i12-07044",,,"J. Brown, summer 2012",
620852,"i12-06901.tif",,"Greek, Corinthian","Column-crater fragment with a depiction of Jason with Phineus",,,"6c BC",,,,,,,"Vase painting","Private collection",,,,,,,,,,,"M. Vojatzi, ""Frühe Argonautenbilder,"" n.p., tafel 6",,,"i12-06901",,,"Jason. Phineus. Column crater.",
620884,"i12-07041.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Presentation of the Virgin in the Temple",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 75.",,,"i12-07041",,,"J. Brown, summer 2012",
620888,"i12-07045.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Assumption of the Virgin",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 81.",,,"i12-07045",,,"J. Brown, summer 2012",
620923,"i12-07171.tif","Rivera, Diego (Mexican painter, 1886-1957)","Mexican","Still Life in a Window, Paris, Montparnasse",,,"1917-1918",,,,"oil on canvas",,,"Painting","Private collection",,,,,,,,,,,"Ramon Favela, et al., ""Diego Rivera: The Cubist Years,"" p. 50, fig. 18.",,,"i12-07171",,,,
616808,"i12-03025.tif",,,"Painted Stele from Amphipolis",,,"4c BC",,,,,,,"Painting","Kavala Museum",2049,"Thrace, Greece",,,,,,"Hellenistic painted funerary stele from Amphipolis.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03025","Copyright: IFA/NYU","Amphipolis, Greece",,
620883,"i12-07040.tif","Borgoña, Juan de (Burgundian, active in Spain painter, active from 1495; died ca. 1535)","Spanish","Embrace at the Golden Gate",,,"1509-1511",,,,,,,"Wall painting","Toledo Cathedral, Chapter House (Sala Capitular), Toledo, Castile-La Mancha, Spain",,,,,,,,,,,"Mateo Gómez, ""Juan de Borgoña,"" 2004, p. 72.",,,"i12-07040",,,"J. Brown, summer 2012",
616781,"i12-03010.tif",,,"Stele of Sosikrates",,,"Hellenistic",,,,,,,"Painting","Volos Museum",11,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03010",,"Demetrias, Greece",,
616795,"i12-03018.tif",,,"Volos Museum Stele #42",,,"Hellenistic",,,,,,,"Painting","Volos Museum",42,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; possibly 1960s)",,,"i12-03018","Copyright: IFA/NYU","Demetrias, Greece",,
617265,"i12-03778.tif","Dittborn, Eugenio (Chilean, born 1943)","Chilean","Pietá (no cor), pintura aeropostal no. 33 [Pietá (no cor), Airmail Painting No. 33]",,,1985,,,,"paint, wool, cotton, and photo silkscreen on wrapping paper",,,"Painting","Private collection, Toronto, ON, Canada",,,,,,,,"210 x 154 cm; Itinerary: Santiago, Chile, 1985; Melbourne, 1985; Hobart, 1985; Adelaide, 1986; East Berlin, 1987; Cleveland, 1988; Banff, 1990; Rotterdam, 1993-1994; Chicago, 1996; Toronto, 1997",,,"""Copiar el Edén: Arte reciente en Chile / Copying Eden: Recent Art in Chile,"" p. 255",,,"i12-03778",,,,
616750,"i12-02988.tif",,"Greek, Hellenistic","Volos Museum Stele #20",,,"Hellenistic",,,,,,,"Painting","Volos Museum, Volos, Greece",20,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003. (Date of slide unknown; likely 1960s)",,,"i12-02988","Copyright: IFA/NYU","Demetrias, Greece",,
617934,"i12-05260.tif",,"Greek, Macedonia","Wall of Tomb of Lyson and Kallikles",,,"end 4c BC",,,,"plaster on stone wall",,,"Painting",,,"Mieza, Greece",,,,,,"in situ",,,"Sophie Descamps-Lequime, ""Au Royaume d'Alexander le Grand: La Macedoine Antique,""  p. 263, fig. 43.",,,"i12-05260",,,,
616774,"i12-03006.tif",,,"Stele of Archidike of Demetrias",,,"Hellenistic",,,,,,,"Painting","Volos Museum",20,"Volos, Thessaly, Greece",,,,,,"Hellenistic painted funerary stele found reused in wall at Demetrias.",,,"Blanche Brown Bequest, 2003.",,,"i12-03006",,"Demetrias, Greece","(Arvanitopoullos, YS pl. 3)",
