Category,Name,Date of Appointment,La,Lo,Place,Notes,Degree
Non-profit Arts Administration,Stephanie Stebich,0,47.247498,-122.437037,Tacoma Art Museum,Director,MA 1998
Non-profit Arts Administration,Angus Trumble,2014,-35.299383,149.131527,"National Portrait Gallery, Australia",Director,MA 1998
,,,,,,,
Curatorial,Jeffrey Uslip,2014,38.64061,-90.234879,Contemporary Art Museum St. Louis.,Chief curator.,PhD Candidate
"Editors, Writers or Publishers",Julianna White,2014,41.308333,-72.930451,Yale University Art Gallery,"Editorial Assistant, Publications and Editorial Services at Yale University Art Gallery.",MA 2013
Curatorial,"Andaleeb Badiee Banta,",2013,41.292312,-82.216473,Oberlin College,"Curator, European & American Art.",PhD 2007
Non-profit Arts Administration,Caroline Baumann,2013,40.784453,-73.957974,Cooper-Hewitt Museum,Director,MA 1990
Education,Laurel Diane Bestock,2013,41.826772,-71.402548,Brown University,Vartan Gregorian Assistant Professor.,PhD 2007
Curatorial,Cathleen Chaffee,2013,42.932453,-78.87566,Albright-Knox Art Gallery,Curator of Contemporary Art,PhD 2013
Non-profit Arts Administration,Tia Chapman,2013,40.771181,-73.96735,The Frick Collection,Deputy Director for External Affairs,MA 1993
Education,Maura Coughlin,2013,41.921068,-71.53827,Bryant University,Associate Professor of Visual Studies.,PhD 2001
Non-profit Arts Administration,Jason Dubs,2013,40.761433,-73.977622,Museum of Modern Art,Museum Research Consortium Project Manager,PhD 2012
Curatorial,Sarah Humphreville,2013,40.773423,-73.963818,Whitney Museum of American Art,Curatorial Assistant,MA 2013
Education,Lauren Jacobi,2013,42.360091,71.09416,Massachusetts Institute of Technology.,"Assistant Professor, Department of Architecture.",PhD 2012
Curatorial,Ronda J. Kasl,2013,40.779187,-73.963535,Metropolitan Museum of Art,Curator of Colonial Latin American Art.,PhD 2012
Education,Abby Kornfeld,2013,40.807536,-73.962573,City College of New York,Assistant Professor of Art History,PhD 2013
Education,Areli Marina,2013,40.101952,-88.227161,University of Illinois at Urbana-Champaign,Received tenure,PhD 2004
Non-profit Arts Administration,Nick Marmor,2013,42.360091,-71.09416,Massachusetts Institute of Technology,"Development Associate, Foundation Relations Office.",MA 2013
Education,Kathryn Blair Moore,2013,22.282999,114.137085,University of Hong Kong,Assistant Professor of Art History,PhD 2011
Curatorial,Merribell M. Parsons,2013,29.437331,-98.482137,San Antonio Museum of Art.,Curator of European Art,MA 1967
Curatorial,Stuart W. Pyhrr,2013,40.779187,-73.963535,Metropolitan Museum of Art,"Distinguished Research Curator, Department of Arms and Armor.",MA 1973
Curatorial,"Marika Sardar, Ph.D.",2013,32.731837,-117.149591,San Diego Museum of Art,"Associate Curator, Southern Asian and Islamic Art.",PhD 2007
Non-profit Arts Administration,Sarah Schroth,2013,41.919769,-91.649501,Duke University,,PhD 1990
Non-profit Arts Administration,Richard P. Townsend,2013,40.770216,-73.982737,Museum of Biblical Art,,MA 1989
Miscellaneous,Shellie Winkler,2013,40.728535,-74.007383,MSLGROUP North America,"Chief Strategy Officer, MSLGROUP North America",MA 1984
Conservation,Serena Urry,2012,39.114285,-84.497291,Cincinnati Art Museum,"Chief Conservatro, Cincinnati Art Museum.",Certificate in Conservation 1989
Education,Mark B. Abbe,,,,"University of Georgia, Lamar Dodd School of Art",Assistant Professor of Ancient Art,Certificate in Conservation 2007; PhD 2013
Education,Susan Louise Aberth,,,,Bard College,"Associate Professor, Art History Department",
Education,Dorothy H. Abramitis,,40.779187,-73.963535,Metropolitan Museum of Art,"Conservator, Sherman Fairchild Center for Objects Conservation",Certificate in Conservation 1986
Education,James S. Ackerman,,42.377003,-71.11666,Harvard University,"Professor Emeritus, Department of the History of Art and Architecture",MA 1947
Education,Ellen Adams,,,,Miami University,Assistant Professor,PhD 2007
Education,Nicholas Adams,,,,Vassar College,Professor of Art on the Mary Conover Mellon Chair,MA 1973
Education,Zainab al Bahrani,,,,Columbia University,Edith Porada Professor of Art History & Archaeology,PhD 1989
,,,,,,,
Education,Joseph D. Alchermes,,,,Connecticut College,Associate Professor,MA 1985
Conservation,Samantha Alderson,,,,American Museum of Natural History,"Associate Conservator of Objects, Anthropology Department",Certificate in Conservation 1994
Curatorial,Denise M. Allen,,40.779187,-73.963535,Metropolitan Museum of Art,"Curator, European Sculpture/Decorative Arts",1988
Education,Marta Elena Ameri,,,,Coby College,,PhD 2010
Curatorial,Lynne D. Ambrosini,,39.102143,-84.502583,Taft Museum of Art,Chief Curator,PhD 1989
Curatorial,Dita G. Amory,,40.779187,-73.963535,Metropolitan Museum of Art,Acting Associate Curator in Charge Robert Lehman Collection,MA 1988
Non-profit Arts Administration,Patrick Amsellem,,55.707819,13.198439,Skissernas Museum of Public Art,Museum Director,PhD 2007
Education,Michael J. Amy,,,,Rochester Institute of Technology,Associate Professor of Art History,PhD 1997
Education,Lilli Lonngren Anders,,,,Wagner College of Staten Island,Professor,PhD 1997
Education,Martha G. Anderson,,,,Alfred University,Professor of Art History,1976
Non-profit Arts Administration,Katherine Anne Andrews,,39.960642,-75.172137,The Barnes Foundation,Corporate Programs Manager,MA 2007
Education,Lynn A. Angelo,,,,Davis Joint Unified School District,Teacher,PhD 1993
Conservation,Barbara A. Appelbaum,,,,Appelbaum & Himmelstein,Partner/Conservator,Certificate in Conservation 1973
Curatorial,Afsaneh Ardalan,,,,Arthur M. Sackler Museum,"Research Assistant, Islamic Department",MA 1990
Education,Kathleen Giles Arthur,,,,James Madison University,"Prof Emeritus of Art History, School of Visual & Performing Arts",1971
Curatorial,Joan C. Aruz,,40.779187,-73.963535,Metropolitan Museum of Art,"Curator in Charge, Department of Ancient Near Eastern Art",PhD 1986
Conservation,Nancy E. Ash,,39.96557,-75.180966,Philadelphia Museum of Art,Senior Conservator of Works of Art on Paper,Certificate in Conservation 1978
Non-profit Arts Administration,Victoria Adoracion Azurin,,,,American Museum of Natural History,Membership Associate,MA 2014
Non-profit Arts Administration,Sussan Babaie,,30.033901,31.213813,Binational Fulbright Commission in Egypt,Fulbright Regional Scholar,PhD 1994
Non-profit Arts Administration,Sherine Badawi Walton,,,,University of Southern California,"Deputy Director, USC Center on Public Diplomacy",MA 1998
Curatorial,Rhonda M. Baer,,42.339381,-71.094048,"Museum of Fine Arts, Boston",Senior Curator of European Paintings,PhD 1990
Miscellaneous,Angela Tau Bailey,,30.332234,-81.655672,Bailey Family Holdings LLC,,MA 1988
Conservation,Sanchita Balachandran,,,,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum",Certificate in Conservation 2003
Curatorial,Sanchita Balachandran,,,,Johns Hopkins University ,"Curator/Conservator, Archaeology Museum",Certificate in Conservation 2003
Conservation,Ann M. Baldwin,,41.026242,-73.628196,Greenwich Studios,Paper Conservator,Certificate in Conservation 1998
Education,Jennifer L. Ball,,40.630942,-73.950582,"Brooklyn College, CUNY","Associate Professor, Art Department",PhD 2001
Conservation,Mary W. Ballard,,,,Smithsonian Institution,"Senior Textile Conservator, Center for Materials Research & Education",Certificate in Conservation 1979
Curatorial,Andaleeb Badiee Banta,,41.293594,-82.216549,The Allen Memorial Art Museum,Curator of European & American Art,PhD 2007
Conservation,Sarah Barack,,40.776338,-73.964047,Institute of Fine Arts,Adjunct Faculty ,Certificate in Conservation 2003
Education,Sarah Barack,,40.776338,-73.964047,Institute of Fine Arts,Adjunct Faculty ,Certificate in Conservation 2003
Miscellaneous,Birjees Barakat,,40.763668,-73.974802,Kohlberg Kravis Roberts & Co.,Executive Assistant to John Saer,PhD 1984
Education,Mary Lee Baranger,,41.021205,-73.709653,Manhattanville College,Professor,PhD 1960
Conservation,Daphne S. Barbour,,,,National Gallery of Art,Senior Objects Conservator,Certificate in Conservation 1988
Education,William Lee Barcham,,,,Fashion Institute of Technology,Professor,PhD 1983
Education,Julianna Maria Bark,,46.257938,6.150186,"Webster University, Switzerland",,PhD 2009
Non-profit Arts Administration,Elizabeth Ellen Barke,,42.3579,-71.062088,Boston Athenæum,Stanford Calderwood Director,PhD 2003
Miscellaneous,Susan Johnston Barnes,,40.696389,-73.849444,St. Matthew's Episcopal Church,Senior Associate Rector,PhD 1986
Miscellaneous,Robert A. Baron,,,,,Photographer,MA 1968
Conservation,Elisabeth Lauren Barro,,40.779187,-73.963535,Metropolitan Museum of Art,Assistant Conservator of Photographs,Certificate in Conservation 2002
Education,Beryl Barr-Sharrar,,40.776338,-73.964047,Institute of Fine Arts,Adjunct Professor/Art Historian,PhD 1980
Conservation,Julie K. Barten,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Senior Conservator,Certificate in Conservation 1993
For-profit Arts Profession,Dorothea L. Basile,,40.678746,-73.999211,ARTime,Director,MA 1988
Education,Miriam Basilio,,40.729513,-73.996461,New York University,Assistant Professor/Faculty Fellow,PhD 2002
Education,Linda Freeman Bauer,,,,"University of California, Irvine",Professor,1975
Conservation,Kenneth Be,,41.246108,-95.960385,Gerald R. Ford Conservation Center,Head of Paintings Conservation,Certificate in Conservation 1987
Education,Madeleine Fidell Beaufort,,,,American University of Paris,"Professor, Art History Department",MA 1968
Conservation,Lawrence G. Becker,,40.779187,-73.963535,Metropolitan Museum of Art,"Conservator in Charge, Sherman Fairchild Center for Objects Conservation",Certificate in Conservation 1982
Conservation,Deborah Bede,,43.266804,-71.934085,"Stillwater Textile Conservation Studio, LLC",,Certificate in Conservation 1982
Curatorial,"Daniel M. Belasco, Ph.D.",,41.741106,-74.083439,Samuel Dorsky Museum of Art,Curator of Exhibitions and Programs,PhD 2008
Non-profit Arts Administration,Katherine Krupp Benardo,,40.761433,-73.977622,Museum of Modern Art,Product Developer,MA 1991
Conservation, Wendy A. Bennett,,40.444457,-79.918172,Wendy Bennett Fine Art Paper Conservation,,Certificate in Conservation 1985
Curatorial,Brian William Bentley,,40.671206,-73.963631,Brooklyn Museum,Curatorial Assistant,MA 2013
Education,Michelle Lita Berenfeld,,,,Pitzer College,"Assistant Professor, Department of Classics",PhD 2002
Education,Patricia G. Berman,,,,Wellesley College,Professor of Art History,PhD 1989
Education,Jo Anne G. Bernstein,,,,Mills College,Professor of Art History,1964
Education,Aimee Bessire,,,,Maine College of Art,Assistant Professor of Art History,MA 1991
Education,Laurel Diane Bestock,,,,Brown University,Professor,PhD 2004
Education,William E. Betsch,,,,University of Miami,"Professor, Department of Art & Art History",PhD 1967
Curatorial,Carol Manson Bier,,,,The Textile Museum,Research Associate,1977
Education,Emily Ida Bills,,34.213625,-118.348821,Woodbury University,Adjunct Faculty ,PhD 2006
Non-profit Arts Administration,Emily Ida Bills,,34.213625,-118.348821,Woodbury University,Director of the Woodbury School of Architecture,PhD 2006
Education,Heather L. Birdsall,,,,McElroy Tutoring,Tutor,MA 2011
Education,Ellen R. Birnbaum,,40.783062,-73.95268,92nd Street Y Nursery School,Associate Director,MA 1991
Curatorial,Jennifer M. Blessing,,40.78298,-73.958971,Solomon R. Guggenheim Museum,Project Curator,MA 1990
Non-profit Arts Administration,Arthur R. Blumenthal,,,,Cornell Fine Arts Museum,Director Emeritus,PhD 1984
Miscellaneous,Gwendolyn Boeve-Jones,,52.112358,4.359206,Redivivus BV,Director,Certificate in Conservation 1994
Public Relations and Marketing,Caroline Boillod,,40.762175,-73.972862,Brevan Howard US LLC,Marketer,MA 2002
Insurance,,,,,,,
Public Relations and Marketing,,,,,,,
"Editors, Writers or Publishers",,,,,,,
Critics,,,,,,,
Art Law,,,,,,,
Education,"Carol Radcliffe Bolon, Ph.D.",,,,Fairfax County Public Schools,High School Teacher,PhD 1981
For-profit Arts Profession,Virginia Anne Bonito,,40.860903,-73.854685,The Mnemosyne Foundation,Founder and CEO,1983
Education,Sonya Gale Bonneau,,,,Georgetown University Law Center,"Associate Professor, Legal Research and Writing",MA 1992
For-profit Arts Profession,Kathryn W. Bonomi,,41.135149,-73.791739,Jacob Burns Film Center,Independent Film Programmer,MA 1988
Curatorial,Suzanne R. Boorsch,,,,Yale University Art Gallery,"Curator, Prints, Drawings, and Photographs",MA 1975
Education,Eve Borsook,,43.786878,11.309931,Villa I Tatti | The Harvard University Center for Italian Renaissance Studies,Research Associate,1954
Curatorial,Edgar P. Bowron,,,,"The Museum of Fine Arts, Houston",Curator of European Art,MA 1969
Curatorial,Dr. Laurel E. Bradley,,,,Carleton College Art Gallery,Director of Exhibitions and Curator,PhD 1996
Non-profit Arts Administration,Dr. Laurel E. Bradley,,,,Carleton College Art Gallery,Director of Exhibitions and Curator,PhD 1996
Curatorial,Ms. Jeanne Brako,,,,"Fort Lewis College, Center for Southwest Studies",Curator of Collections & Public Programs,Certificate in Conservation 2002
Education,"Mary K. Brantl, Ph.D.",,,,St. Edward's University,Art Historian,PhD 1998
Non-profit Arts Administration,Louise Tharaud Brasher,,33.521755,-86.810297,Birmingham Museum of Art,Assistant Curator of Education/Coordinator for Disabilities,MA 1981
Education,Dr. Emily F. Braun,,,,"Hunter College, CUNY","Professor, Art History Department",PhD 1991
Non-profit Arts Administration,Ms. Catherine Coleman Brawer,,,,Ida & William Rosenthal Foundation,President,MA 1966
Curatorial,Katherine Mary Brinson,,40.78298,-73.958971,Solomon R. Guggenheim Museum,"Curator, Contemporary Art",MA 2005
Non-profit Arts Administration,Marcia E. Brocklebank,,38.81925,-77.047467,Art Services International,U.K. Representative,MA 1963
Education,Joyce G. Brodsky,,,,"University of California, Santa Cruz","Prof, Department of Art",1958
Curatorial,"Lisa R. Brody, Ph.D.",,,,Yale University Art Gallery,Associate Curator of Ancient Art,PhD 1999
Education,"Sarah Tyler Brooks, Ph.D.",,,,James Madison University,"Assistant Professor, School of Art and Art History",PhD 2002
Conservation,Lynn B. Brostoff,,,,Library of Congress,"Research Chemist, Preservation Research and Testing Division",Certificate in Conservation 1987
For-profit Arts Profession,Michelle Ilana Brown,,,,Sotheby's,,MA 2012
Conservation,Karl D. Buchberg,,40.761433,-73.977622,Museum of Modern Art,Senior Conservator,Certificate in Conservation 1984
For-profit Arts Profession,"Robert T. Buck, Jr.",,,,Marlborough Gallery,Director,MA 1965
Curatorial,"Rosina Buckland, Ph.D.",,,,National Museum of Scotland,"Senior Curator, East and Central Asia",PhD 2008
Critics,Dr. Ariella G. Budick,,40.746334,-73.982464,Newsday,Art Critic,PhD 1996
Conservation,Friederike C. Buehler-Steckling,,,,Fondation Beyeler,Conservator,Certificate in Conservation 1998
Curatorial,Emma Cadwalader Bunker,,,,Denver Art Museum,Research Consultant,MA 1962
For-profit Arts Profession,Jennifer G. Buonocore,,,,LMN Arts,Gallery Assistant,MA 2012
Curatorial,Dr. Marcus B. Burke,,,,The Hispanic Society of America,"Curator, Ptgs., Drawings & Metalwork",PhD 1984
Education,"Olga Bush, Ph.D.",,,,Vassar College,Adjunct Assistant Professor in Art,"MA '94, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
For-profit Arts Profession,Dr. Andrew W. Butterfield,,,,"Andrew Butterfield Fine Arts, LLC", ,"MA '86, IFA (GSAS/Fine Arts); PHD '92, IFA (GSAS/History of Art and Archaeology)"
Education,Dr. Walter B. Cahn,,,,Yale Unversity,Professor Emeritus,"MA '61, IFA (GSAS/Fine Arts)"
Curatorial,Dr. Marietta Cambareri,,,,Museum of Fine Arts,Sculpture Curator,"BA '82, WSC; XX '85, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
Conservation,Rebecca Lillian Capua,,40.779187,-73.963535,Metropolitan Museum of Art,"Assistant Conservator, Paper Conservation","MA '07, IFA (GSAS/History of Art and Archaeology); CERT '07, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Non-profit Arts Administration,Mr. Patrick Cardon,,,,"The Museum in the Streets, LLC",Director,"MA '76, IFA (GSAS/Fine Arts)"
Education,Mr. Erik L. Carlson,,,,Woodside Priory School,Dean of Students,"MA '94, IFA (GSAS/History of Art and Archaeology)"
Curatorial,Ms. Kate Carmel,,,,American Craft Museum,Chief Curator,"XX '63, IFA"
Curatorial,Dr. Dawson W. Carr,,,,Curator of European Art,Janet and Richard Geary,"MA '79, IFA; PHD '87, IFA (GSAS/Fine Arts)"
Conservation,Ms. Ellen Carrlee,,,,Alaska State Museum,Conservator,"CERT '00, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Edward Peter Catto,,,,Ward & Company Works of Art, ,"MA '02, IFA (GSAS/History of Art and Archaeology)"
Miscellaneous,Mr. Francis M. Celentano,,,, ,Painter,"MA '57, IFA"
,Dr. Claude R. Cernuschi,,,,Fine Arts Department,Professor,"MA '83, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
Curatorial,Cathleen Ann Chaffee,,42.93245,-78.875618,Albright-Knox Gallery,Curator,PhD 2013
,Ms. Veronique Chagnon-Burke,,,,Christie's Education,Director of Studies/Associate Professor,"MA '90, IFA (GSAS/Fine Arts)"
,Ms. Anne Palms Chalmers,,,,Houghton Mifflin Company,"Art Director, Cookbooks & Guidebooks","MA '69, IFA"
,Mr. Peter S. Champe,,,,"Robert Silman Associates, P.C. Consulting Engineers",Architectural Conservator,"CERT '95, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '95, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,Ms. Nancy Maria Chang,,22.293524,114.172145,Hong Kong Museum of Art,"Chairman, The Friends of the Hong Kong Museum of Art","MA '89, IFA (GSAS/Fine Arts)"
,Ms. Esther Hui-Hui Chao,,42.377003,-71.11666,Harvard University,Assistant Conservator,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Curatorial,"Mary Weaver Chapin, Ph.D.",,45.516879,-122.683231,The Portland Art Museum,Curator of Prints and Drawings,"MA '95, IFA (GSAS/History of Art and Archaeology); PA '98, IFA (GSAS/Curatorial Studies); PHD '02, IFA (GSAS/History of Art and Archaeology)"
Conservation,Ellen Chase,,38.887908,-77.026494,Freer & Sackler Galleries,Objects Conservator,"CERT '93, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Michele Kelly Chase,,,,Bloomfield College,Assistant Professor of History,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,"Mr. William T. Chase, III",,,,Chase Art Services, ,"CERT '67, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '67, IFA (GSAS/History of Art and Archaeology)"
,"Sheldon L. Cheek, Ph.D.",,,,W. E. B. Du Bois Institute for African,Curatorial Associate,"XX '83, IFA (GSAS/Fine Arts); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Karen Maya Chernick,,,, , ,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Ms. Andrea Y. Chevalier,,,,Intermuseum Conservation Association,Senior Paintings Conservator,"MA '87, IFA (GSAS/History of Art and Archaeology); CERT '88, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Jennifer Y. Chi, Ph.D.",,40.779928,-73.960263,"Institute for the Study of the Ancient World, NYU",Exhibitions Director and Chief Curator,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Ms. Ling-Yi Chien,,,,"Art, Culture, and Business Development",Consultancies,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth Childs-Johnson,,,,US State Department,Senior Cultural Property Consultant,"BA '70, WSC; MA '74, IFA (GSAS/Fine Arts); PHD '84, IFA"
,Ms. Perry Chisoo Choe,,,,Royal Commission on Ancient and Historic Monuments,Project Conservator,"MA '99, IFA (GSAS/History of Art and Archaeology); CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Alan D. Chong, Ph.D.",,,,Asian Civilisations Museum (ACM),Director,"MA '81, IFA (GSAS/Fine Arts); PHD '92, IFA (GSAS/History of Art and Archaeology)"
Conservation,Ms. Sue Ann Chui,,34.078808,-118.475026,The J. Paul Getty Museum,Assistant Conservator,"MA '99, IFA (GSAS/History of Art and Archaeology); CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Yeon Shim Chung, Ph.D.",,,, , ,"MA '98, Education (Decorative Arts); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. J. Mikel Clifford,,,,Minnesota Shakespeare Company,Artistic Director,"MA '66, IFA (GSAS/History of Art and Archaeology)"
,Mr. Brian Michael Coburn,,,,A & E Television Networks,Human Resources,"MA '09, IFA (Museum Studies)"
,Ms. Cheri L. Coffin,,,,Thornton-Donovan School,Middle/High School Teacher of Social Science,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Beth Cohen,,,, ,Self-Employed,"MA '70, IFA (GSAS/Fine Arts)"
,Ms. Janie L. Cohen,,,,Robert Hull Fleming Museum,Director,"MA '86, IFA (GSAS/Fine Arts)"
,Dr. Marilyn A. Cohen,,,,Cooper-Hewitt/Bard G.C.,Adjunct Faculty,"BA '70, WSC; MA '73, IFA (GSAS/Fine Arts); PHD '87, GSAS"
,Dr. Ronny H. Cohen,,,,Halstead Property,Sales Associate,"MA '74, IFA (GSAS/Fine Arts)"
,Ms. Sari Neidell Cohen,,,,Neuberger Berman,Collection Manager/AVP,"BA '96, Gallatin (Individualized Major); MA '98, IFA (GSAS/History of Art and Archaeology)"
,"Judith Colton, Ph.D.",,,,Yale University,Professor Emeritus,"MA '65, IFA (GSAS/Fine Arts); PHD '74, IFA (GSAS/Fine Arts)"
,Dr. Carolyn Loessel Connor,,,,University of North Carolina at Chapel Hill,Professor of Classics,"MA '67, GSAS; PHD '87, IFA (GSAS/Fine Arts)"
,"Maura Ann Coughlin, Ph.D.",,,,English & Cultural Studies,Associate Professor of Visual Studies,"PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Ms. Elizabeth Anne Coup,,39.044968,-94.580923,Nelson-Atkins Museum,Department Assistant,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,Ms. Alexandra Courcoulas,,,,Canadian Centre for Architecture,Curatorial Intern,"MA '12, IFA (GSAS/History of Art and Archaeology)"
,Professor Nicola M. Courtright,,,,Department of Fine Arts,Associate Dean of the Faculty and Professor,"PHD '90, IFA (GSAS/Fine Arts)"
,Dr. Dario A. Covi,,,,Part-Time Curator of Art Collection,Professor Emeritus,"PHD '58, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,Ms. Ann B. Craddock,,40.746923,-73.940904,The Sculpture Center,Executive Director,Certificate in Conservation 1991
Education,Mr. Stephen Paul Crenshaw,,41.843885,-71.434668,Providence College,Associate Professor,PhD 2000
,Ms. Ivy Crewdson,,,,Barbara Gladstone Gallery,Curator,"BA '92, Gallatin (Individualized Major); MA '97, IFA (GSAS/History of Art and Archaeology)"
,Ms. Wendy M. Cromwell,,,,"Cromwell Art, LLC",Art Advisor,"MA '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. Dena Crosson,,,,Crosson Fine Art ,Owner/Accredited,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Eszter Gabriella Csicsai,,,,American Council of Learned Societies,"Program Associate, African Humanities Program ","MA '09, IFA (Museum Studies)"
,Dr. Slobodan Curcic,,,, , ,"XX '75, IFA (GSAS/Fine Arts)"
,Professor Kathleen A. Curran,,,,Trinity College,Associate Professor,"XX '81, IFA (GSAS/Fine Arts)"
,Ms. Elizabeth Mize Currie,,,,Currie Capital LLC,Manager,"MA '80, IFA (GSAS/Fine Arts)"
,Ms. Michelle-Louise C. Da Re,,,,Law Offices of DaRe & Gough,Owner/Attorney,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,"Magdalena Dabrowski, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,Special Consultant,"MA '72, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/History of Art and Archaeology)"
Curatorial,Ms. Kristi Anne Dahm,,41.879584,-87.623713,Art Institute of Chicago,Assistant Conservator of Prints & Drawing,"MA '02, IFA (GSAS/History of Art and Archaeology); CERT '02, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Maria F. P. Saffiotti Dale,,,,University of Wisconsin-Madison,"Curator of Paintings, Sculpture, & Decorative Arts","PA '94, IFA (GSAS/Curatorial Studies)"
Conservation,Ms. Rachel L. Danzing,,40.671206,-73.963631,Brooklyn Museum,Associate Paper Conservator,"MA '91, IFA (GSAS/History of Art and Archaeology); CERT '92, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Professor Benjamin David,,,,Lewis & Clark College,Associate Professor of Art History,"BA '91, WSC (Fine Arts); MA '93, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Suzanne L. Davis,,,,Kelsey Museum of Archaeology,Curator (Head) of Conservation,"MA '97, IFA (GSAS/History of Art and Archaeology); CERT '98, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Lacy Davisson-Doyle,,,,"Artview NYC, LLC",Founder,"MA '81, IFA (GSAS/Fine Arts)"
,Dr. Kim T. de Beaumont,,,,"Hunter College, CUNY",Adjunct Professor,"XX '75, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
